name,addr:housenumber,addr:street,addr:city,addr:postcode,geometry
Chase,11995,Carmel Mountain Road,San Diego,92128,"POLYGON ((-117.075703 32.982642, -117.0758223 32.9824434, -117.0760568 32.9825425, -117.0760504 32.9825531, -117.0760082 32.9826235, -117.0759376 32.9827411, -117.075703 32.982642))"
San Diego County Credit Union,1004,Rosecrans Street,San Diego,92106,"POLYGON ((-117.2329799 32.7204918, -117.2329847 32.7204718, -117.2329269 32.7204619, -117.2329312 32.7204441, -117.2329013 32.720439, -117.2329275 32.7203385, -117.2329565 32.7203431, -117.2329635 32.7203253, -117.2332517 32.7203801, -117.233233 32.7204466, -117.2331949 32.7204809, -117.2331717 32.7205245, -117.2329799 32.7204918))"
Bank of America,5851,Balboa Avenue,San Diego,92111,"POLYGON ((-117.1778883 32.8196315, -117.1779985 32.819614, -117.1780138 32.8196832, -117.1780211 32.8197163, -117.1780756 32.8199617, -117.1777766 32.8200093, -117.1776994 32.8196616, -117.1778883 32.8196315))"
Banner Bank,1350,Rosecrans Street,San Diego,92106,"POLYGON ((-117.229389 32.7246593, -117.2294837 32.7245483, -117.2294896 32.7245519, -117.2294972 32.724543, -117.2296209 32.7246183, -117.2296126 32.7246279, -117.2296401 32.7246447, -117.2296491 32.7246342, -117.2297285 32.7246826, -117.2296432 32.7247817, -117.2296321 32.7247749, -117.2296144 32.7247956, -117.229389 32.7246593))"
Pacific Western Bank,1661,Rosecrans Street,San Diego,92106,"POLYGON ((-117.225859 32.7280664, -117.2260052 32.728154, -117.2257782 32.7284213, -117.2256322 32.7283338, -117.225859 32.7280664))"
Union Bank,8630,Lake Murray Boulevard,San Diego,92119,"POLYGON ((-117.0124335 32.8007683, -117.0124911 32.8007713, -117.0124968 32.8006952, -117.0126545 32.8007036, -117.012651 32.8007495, -117.0127167 32.800753, -117.0127107 32.8008328, -117.0126494 32.8008295, -117.0126411 32.8009405, -117.0126037 32.8009385, -117.0125993 32.8009974, -117.0125469 32.8009947, -117.0124171 32.8009878, -117.0124335 32.8007683))"
Chase,5303,Ruffin Road,San Diego,92123,"POLYGON ((-117.1260819 32.8318665, -117.1260798 32.8316609, -117.126426 32.8316585, -117.126428 32.8318641, -117.1263277 32.8318648, -117.1263281 32.8319009, -117.1263285 32.8319437, -117.126232 32.8319444, -117.1262315 32.8319001, -117.1262312 32.8318655, -117.1260819 32.8318665))"
Wells Fargo,1205,Rosecrans Street,San Diego,92106,"POLYGON ((-117.2302582 32.7225273, -117.2303247 32.7224459, -117.2304282 32.7225057, -117.2304673 32.7224577, -117.2307189 32.7226031, -117.2305909 32.7227599, -117.2303669 32.7226305, -117.2303893 32.722603, -117.2302947 32.7225483, -117.2302582 32.7225273))"
Union Bank,1175,Rosecrans Street,San Diego,92106,"POLYGON ((-117.2307257 32.7222385, -117.230826 32.7221223, -117.230902 32.7221687, -117.2309207 32.722147, -117.230941 32.7221235, -117.2310373 32.7221823, -117.2310184 32.7222041, -117.2309969 32.7222291, -117.2310187 32.7222424, -117.230874 32.7224102, -117.2307224 32.7223176, -117.2307682 32.7222645, -117.2307257 32.7222385))"
Chase,5825,Balboa Avenue,San Diego,92111,"POLYGON ((-117.1784254 32.8196285, -117.1784881 32.8199287, -117.1782914 32.8199577, -117.1782835 32.8199195, -117.178219 32.819929, -117.1781827 32.8197555, -117.1782526 32.8197452, -117.1782342 32.8196567, -117.1784254 32.8196285))"
California Bank & Trust,5500,Grossmont Center Drive,La Mesa,91942,"POLYGON ((-117.0087079 32.7769443, -117.0086668 32.7769276, -117.0085625 32.7768862, -117.0083761 32.7768127, -117.0084856 32.7766176, -117.0086392 32.7766786, -117.0086477 32.7766634, -117.008689 32.7766798, -117.0087284 32.7766954, -117.0087199 32.7767106, -117.00882 32.7767503, -117.0088073 32.7767729, -117.0088324 32.7767829, -117.0087937 32.7768518, -117.008766 32.7768408, -117.0087079 32.7769443))"
Wells Fargo,5500,Grossmont Center Drive,La Mesa,91942,"POLYGON ((-117.0105664 32.7765946, -117.0105052 32.7765714, -117.0104084 32.7765319, -117.0103454 32.7765078, -117.0103744 32.7764556, -117.0105014 32.7762269, -117.0107319 32.7763174, -117.0107129 32.7763516, -117.0107366 32.7763609, -117.0106472 32.7765219, -117.010614 32.7765088, -117.0105664 32.7765946))"
Chase,1000,Orange Ave,Coronado,92118,"POLYGON ((-117.1804928 32.6860298, -117.1802526 32.6859241, -117.1803666 32.6857406, -117.1804002 32.6857553, -117.1804413 32.6856892, -117.1806322 32.6857732, -117.1805942 32.6858343, -117.1806099 32.6858412, -117.1804928 32.6860298))"
Bank of America,1125,South Main Avenue,Fallbrook,92028,"POLYGON ((-117.2520692 33.3720276, -117.2520191 33.3720274, -117.2520191 33.3720369, -117.2517525 33.372036, -117.2517526 33.3720212, -117.2516466 33.3720209, -117.2516511 33.3718749, -117.2517405 33.3718763, -117.2517409 33.371859, -117.2519803 33.3718629, -117.2519799 33.3718802, -117.2520704 33.3718817, -117.2520692 33.3720276))"
Comerica Bank,110,North El Camino Real,Encinitas,92024,"POLYGON ((-117.2600687 33.0452316, -117.2598788 33.0452241, -117.2598928 33.0449751, -117.2600826 33.0449826, -117.2600687 33.0452316))"
San Diego County Credit Union,501,North El Camino Real,Encinitas,92024,"POLYGON ((-117.2622318 33.0589539, -117.262232 33.0588649, -117.2621254 33.0588647, -117.2621256 33.0587979, -117.2620899 33.0587978, -117.2620901 33.0587265, -117.2621183 33.0587265, -117.2621185 33.0586548, -117.2624825 33.0586555, -117.2624817 33.058966, -117.2623934 33.0589658, -117.2623934 33.0589347, -117.262342 33.0589346, -117.2623419 33.0589541, -117.2622318 33.0589539))"
Chase,6998,El Camino Real,Carlsbad,92011,"POLYGON ((-117.2659414 33.102692, -117.2659414 33.102497, -117.2662629 33.102497, -117.2662629 33.102692, -117.2659414 33.102692))"
Wells Fargo,145,North Escondido Boulevard,Escondido,92025,"POLYGON ((-117.0851862 33.1209057, -117.085184 33.1209027, -117.08517 33.1208846, -117.085159 33.1208681, -117.0851449 33.1208487, -117.0851875 33.120827, -117.0851835 33.1208215, -117.0851588 33.1207873, -117.0851161 33.120809, -117.0851074 33.1207969, -117.0850737 33.1207504, -117.0849073 33.120835, -117.0848935 33.1208159, -117.0848749 33.1207903, -117.0848576 33.1207664, -117.0848475 33.1207524, -117.0847168 33.1208188, -117.0847267 33.1208324, -117.0847444 33.1208569, -117.0847629 33.1208824, -117.0848892 33.1210567, -117.0851862 33.1209057))"
Sunrise Bank,200,West Grand Avenue,Escondido,92025,"POLYGON ((-117.0833283 33.1212197, -117.0831051 33.1211482, -117.0831794 33.1209856, -117.0834026 33.1210572, -117.0833283 33.1212197))"
Comerica Bank,260,West Grand Avenue,Escondido,92025,"POLYGON ((-117.0841242 33.1208181, -117.0842115 33.1207764, -117.0842673 33.1207498, -117.0843403 33.1207149, -117.0841905 33.1204949, -117.0839744 33.1205982, -117.0841242 33.1208181))"
First Republic Bank,116,East Grand Avenue,Escondido,92025,"POLYGON ((-117.0813828 33.1222063, -117.0813064 33.122243, -117.0811393 33.1219988, -117.0812151 33.1219611, -117.0813828 33.1222063))"
U.S. Bank,125,North Broadway,Escondido,92025,"POLYGON ((-117.0822752 33.122353, -117.0820964 33.1224433, -117.0819933 33.1223, -117.0821732 33.1222092, -117.0821773 33.1222151, -117.0822433 33.1223087, -117.0822752 33.122353))"
San Diego County Credit Union Escondido Civic Center Branch,150,East Valley Parkway,Escondido,92025,"POLYGON ((-117.0819175 33.12312, -117.0818396 33.1231581, -117.0818238 33.1231355, -117.0816466 33.1232222, -117.081664 33.1232472, -117.0815923 33.1232822, -117.0815528 33.1232256, -117.081537 33.1232333, -117.0815058 33.1231885, -117.0814836 33.1231994, -117.0814242 33.1231141, -117.0815273 33.1230636, -117.0815402 33.123082, -117.0815487 33.1230779, -117.0815377 33.1230621, -117.08159 33.1230365, -117.081574 33.1230137, -117.081643 33.12298, -117.0816577 33.123001, -117.0817116 33.1229747, -117.081722 33.1229895, -117.0817318 33.1229847, -117.0817188 33.1229661, -117.0817672 33.1229425, -117.0818544 33.1229598, -117.0818818 33.122999, -117.0818609 33.1230093, -117.0818928 33.1230549, -117.0818773 33.1230625, -117.0819175 33.12312))"
First California Bank,355,West Grand Avenue,Escondido,92025,"POLYGON ((-117.0852997 33.1195684, -117.0851112 33.1196625, -117.0850987 33.119645, -117.0850765 33.119656, -117.084938 33.1194614, -117.0849595 33.11945, -117.0849476 33.1194326, -117.0851336 33.1193467, -117.0851462 33.1193652, -117.0851693 33.1193542, -117.08531 33.1195388, -117.0852874 33.1195512, -117.0852997 33.1195684))"
Union Bank,303,West Grand Avenue,Escondido,92025,"POLYGON ((-117.0842353 33.1201366, -117.0841255 33.1199841, -117.0841669 33.1199632, -117.0842414 33.1199256, -117.0843722 33.1198595, -117.084392 33.1198495, -117.084379 33.1198315, -117.0844638 33.1197888, -117.0845792 33.1199551, -117.0844608 33.1200149, -117.084465 33.1200206, -117.0842353 33.1201366))"
Silvergate Bank,128,North Broadway,Escondido,92025,"POLYGON ((-117.0812733 33.122529, -117.0813911 33.1226966, -117.081361 33.1227115, -117.0812867 33.1227481, -117.0813327 33.1228135, -117.0814071 33.1227768, -117.0814342 33.1227634, -117.0814533 33.1227906, -117.0816062 33.1227152, -117.0815853 33.1226856, -117.0816071 33.1226748, -117.0815633 33.1226124, -117.0815443 33.1226218, -117.081426 33.1224536, -117.0812733 33.122529))"
Wells Fargo,2366,Jamacha Road,El Cajon,92019,"POLYGON ((-116.9279367 32.7477942, -116.9279357 32.7477215, -116.927957 32.7477212, -116.9279553 32.7475949, -116.9276523 32.7475989, -116.9276542 32.7477395, -116.9276782 32.7477392, -116.9276789 32.7477976, -116.9279367 32.7477942))"
Chase,1810,University Drive,Vista,92083,"POLYGON ((-117.2159793 33.1707614, -117.2157138 33.1707635, -117.2157138 33.1709721, -117.215988 33.170971, -117.2159793 33.1707614))"
Chase,1714,Alpine Boulevard,Alpine,91901,"POLYGON ((-116.7780211 32.8382142, -116.7777553 32.8382047, -116.7777687 32.8379417, -116.7777707 32.8379017, -116.7778709 32.8379053, -116.7778691 32.8379423, -116.7778674 32.8379756, -116.7780329 32.8379815, -116.7780211 32.8382142))"
Chase,330,East H Street,Chula Vista,91910,"POLYGON ((-117.051434 32.6411505, -117.0511836 32.6411334, -117.0511907 32.6410599, -117.0512001 32.6410606, -117.0512138 32.640919, -117.0512991 32.6409248, -117.0513006 32.6409101, -117.0513761 32.6409153, -117.0513748 32.640929, -117.0514388 32.6409334, -117.0514252 32.641074, -117.0514413 32.6410751, -117.051434 32.6411505))"
Mission Federal Credit Union,354,East H Street,Chula Vista,91910,"POLYGON ((-117.0502794 32.6402422, -117.0501049 32.6401461, -117.0502399 32.6399724, -117.0504143 32.6400686, -117.0503815 32.6401102, -117.0503117 32.640201, -117.0502794 32.6402422))"
Bank of America,2930,Jamacha Road,El Cajon,92019,"POLYGON ((-116.9406418 32.7405075, -116.9403708 32.7406472, -116.9402577 32.7404918, -116.9405288 32.7403522, -116.9406418 32.7405075))"
U.S. Bank,2910,Cuyamaca College Drive West,El Cajon,92019,"POLYGON ((-116.9393748 32.7410964, -116.9391603 32.7412107, -116.9390462 32.7410592, -116.9392607 32.7409449, -116.9393748 32.7410964))"
Chase,2644,Jamacha Road,San Diego,92019,"POLYGON ((-116.9325274 32.744297, -116.9322994 32.7443737, -116.9321981 32.7441625, -116.932176 32.7441165, -116.9322592 32.7440872, -116.9322862 32.7441292, -116.932294 32.7441413, -116.9324308 32.7440985, -116.9325274 32.744297))"
Union Bank,1512,Main Street,Ramona,92065,"POLYGON ((-116.8767492 33.0371657, -116.8766824 33.0371983, -116.8767231 33.0372569, -116.8765072 33.0373622, -116.8764011 33.0372092, -116.8766011 33.0371118, -116.876621 33.0371404, -116.8767037 33.0371001, -116.8767492 33.0371657))"
Chase,1467,Main Street,Ramona,92065,"POLYGON ((-116.8766321 33.0380535, -116.8764063 33.0381646, -116.8762802 33.0379844, -116.876506 33.0378734, -116.8766321 33.0380535))"
Chase,1641,South Melrose Drive,Vista,92081,"POLYGON ((-117.2469389 33.1654715, -117.2468006 33.1656619, -117.2465882 33.1655539, -117.2467264 33.1653634, -117.2469389 33.1654715))"
Chase,9558,Winter Gardens Boulevard,Lakeside,92040,"POLYGON ((-116.9316208 32.8517813, -116.9316201 32.8519078, -116.9316196 32.8519947, -116.9315956 32.8519946, -116.9315955 32.8520105, -116.9315954 32.8520285, -116.931522 32.8520282, -116.9315221 32.8520102, -116.9315222 32.8520035, -116.9313518 32.8520028, -116.9313531 32.8517802, -116.9316208 32.8517813))"
San Diego County Credit Union,2530,El Camino Real,Carlsbad,92008,"POLYGON ((-117.3246617 33.1800757, -117.3246585 33.1801021, -117.3246583 33.1801596, -117.3246127 33.1801573, -117.3246129 33.180138, -117.324578 33.180138, -117.324578 33.1801133, -117.3245136 33.1801133, -117.3244653 33.1795252, -117.3246504 33.1795027, -117.3246397 33.1793433, -117.3247631 33.1793389, -117.3247497 33.1791907, -117.3247845 33.1791884, -117.3247742 33.179086, -117.3250189 33.1790763, -117.3250258 33.1791539, -117.3249936 33.1791606, -117.3250017 33.1792796, -117.3250367 33.1792827, -117.3250419 33.17932, -117.3249991 33.1793254, -117.3250151 33.1794996, -117.3249936 33.1795063, -117.3249936 33.1795288, -117.3250206 33.1795274, -117.3250231 33.1795467, -117.3250502 33.1795467, -117.3250741 33.1799014, -117.3250527 33.1799023, -117.3250501 33.179927, -117.3250232 33.179927, -117.3250003 33.1799284, -117.3250098 33.1800123, -117.3246503 33.1800227, -117.3246617 33.1800757))"
